m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
7.155136644965804926e-01 1.222198309617220957e+01 3.233845403720724221e+01 8.332005931167035584e+00 2.994603581850625318e+01 2.542437910751641716e+00 2.076971549071152390e-01 4.893679681973308604e+00
6.278507605653707024e-01 8.606242447160106224e+00 4.868473058618697991e+01 9.741166682698272794e+00 4.776074694316857716e+01 2.840735836609285414e+00 2.347604743242585612e-01 7.733731981156713786e+00
6.202373837924988198e-01 1.312545928721675637e+01 4.677288757254215312e+01 9.646940743573926724e+00 2.588884543842955210e+01 2.933738488386651078e+00 2.171304857809523980e-01 9.371050427878699907e+00
7.273497745346875210e-01 9.465105926173841056e+00 4.721098219549016761e+01 8.947198285854714328e+00 3.938024683116145752e+01 2.759245392851309653e+00 2.107353761717612739e-01 7.887144658760236737e+00
7.075589973725778803e-01 1.184095947829660744e+01 3.343154558354191863e+01 8.911378208493253794e+00 3.137787103231062957e+01 2.608374145875655081e+00 2.303999296361981530e-01 5.125039634548748779e+00
7.962698171001533209e-01 8.482456475316620725e+00 4.289236407095707904e+01 8.827674634706035306e+00 4.197255867146127173e+01 2.689681022059486004e+00 2.121671001580088256e-01 6.438582644692927737e+00
6.239578183357729069e-01 9.796937197757394244e+00 5.008985686497112511e+01 9.300070545410850542e+00 4.773769070672377524e+01 2.870380817169146948e+00 2.378671530407669987e-01 9.347308253787335985e+00
6.874900110877408821e-01 9.458056263041829226e+00 4.274261011921159792e+01 8.376857827844400362e+00 4.137977767407107876e+01 2.702025604663335301e+00 2.059955826839943993e-01 6.484000458854913163e+00
7.082177818595924990e-01 8.747804811750103937e+00 4.682128064731994499e+01 8.941906524420526026e+00 4.464208218551573282e+01 2.744241438927597088e+00 2.203998554354153483e-01 7.446959562072645866e+00
8.120767340448349358e-01 1.022455901417639978e+01 4.660126506353802966e+01 8.697651743862341078e+00 2.566756454911104157e+01 2.766822770330470860e+00 2.102618980892694278e-01 7.245293643428403207e+00
9.096443603413364443e-01 7.514423676736724289e+00 5.326072637806549182e+01 9.813052996643733650e+00 3.317581884808790704e+01 2.953954190836428850e+00 2.345805667865262512e-01 7.536502255890110469e+00
7.134169948954584006e-01 7.665006419605604471e+00 5.268219776069858540e+01 9.318973799641213418e+00 5.226651103382767616e+01 2.842499107012488313e+00 2.397400043518996549e-01 8.818508611210084780e+00
