logz logzerr logvol nlive logl logwt insert_order
-9.999999999999999775e+37 0.000000000000000000e+00 -1.698554636574389765e-02 9.340000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.805678374724269467e-02 9.330000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.912916990899533529e-02 9.320000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.020270731751944854e-02 9.310000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.127739844728489607e-02 9.300000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.235324578074800173e-02 9.290000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.343025180838594415e-02 9.280000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.450841902873136455e-02 9.270000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.558774994840713399e-02 9.260000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.666824708216132545e-02 9.250000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.774991295290235929e-02 9.240000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.883275009173436043e-02 9.230000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.991676103799268890e-02 9.220000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.100194833927967172e-02 9.210000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
