m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
6.632033091054968521e-01 1.246498274747189683e+01 4.864107250488208223e+01 8.846116339350098556e+00 2.242795587633640508e+01 2.933736448753810677e+00 2.180356025001274067e-01 6.268878760017725149e+00
7.592636158345339448e-01 7.802384594506383664e+00 8.307408267033842719e+01 8.928292248995875369e+00 9.589363882665717043e+00 3.528354693262452990e+00 2.126044302961652699e-01 1.711540538996825234e+01
7.186362737015556945e-01 1.155037047150436180e+01 6.385495634153575395e+01 8.717542331520888865e+00 6.839234107272886831e+00 3.169741716527407771e+00 2.157231033333727732e-01 1.804236447191995296e+01
7.097171093346975601e-01 1.024784404376293345e+01 5.978052768627442504e+01 9.018405488702271100e+00 3.460288550546179209e+01 2.996268804632552296e+00 2.205626030069928190e-01 1.749470355177488656e+01
7.093626450343915035e-01 1.073149806953550645e+01 5.659336606742785136e+01 9.770899446622230755e+00 1.923358477860994853e+01 3.503689567034946162e+00 2.270104198902025694e-01 7.609745204286225473e+00
7.672371627028428120e-01 7.242856323794699236e+00 6.432471833186514232e+01 9.370706205456437843e+00 3.797470089068898602e+01 3.174158550885598284e+00 2.173280676968953884e-01 1.021483698364433579e+01
6.520672575467227894e-01 8.840722725254741121e+00 5.453486076542713334e+01 9.170939016991541237e+00 4.124038523945173296e+01 2.850733400300098364e+00 2.175021095209240529e-01 1.203294246077587815e+01
6.774633208336563461e-01 1.077009389209727530e+01 6.579942943015063861e+01 9.156655248520531032e+00 3.410265386177177760e+01 3.327997987967664439e+00 2.253468960521309850e-01 2.008411631149074950e+01
7.090450552678555507e-01 8.360734441154297869e+00 7.206885400246792983e+01 9.406678135306624000e+00 5.058012854887735443e+01 3.213702117707295081e+00 2.212267984200039783e-01 2.253816328141935799e+01
6.291619215869951320e-01 8.318293430842519598e+00 6.186883136356853896e+01 8.071315649538961523e+00 5.627894468327531285e+01 2.832222713088166977e+00 2.034136806450789481e-01 1.182955777087601135e+01
7.424314464596948326e-01 1.053611569607229903e+01 6.470018069380597581e+01 8.748780479272021182e+00 2.060967231133967204e+01 3.258491114891929552e+00 2.151219043829845634e-01 1.575313754300365687e+01
7.269698523941418022e-01 1.087885869084245982e+01 6.603494279162001135e+01 8.871120446523644176e+00 5.666071364260651499e+00 3.179538853028328838e+00 2.187063739083470737e-01 1.559238771059210293e+01
7.165715934808917220e-01 1.083267562616139834e+01 6.920679690065995260e+01 9.423617568833455138e+00 6.737406511218113181e+00 3.585285415095044836e+00 2.236378709421669719e-01 1.115167239124355625e+01
7.090346079514532329e-01 8.711836792622534631e+00 7.149431717006837061e+01 9.083115226240888518e+00 2.861055649574288395e+01 3.271782639951718252e+00 2.165183561025329773e-01 1.604142168485527264e+01
6.935412182017250959e-01 9.650372899206210775e+00 6.876375771268030235e+01 9.373097292985770324e+00 3.738213921263747608e+01 3.321936014070287158e+00 2.194483472727266071e-01 1.072101551892059135e+01
7.016653689280132333e-01 7.110055832949756294e+00 7.035818305953316099e+01 9.472936554774772588e+00 4.841478281239167814e+01 3.251079954269055605e+00 2.185924641381300215e-01 1.266909323247733887e+01
7.265223354598432381e-01 1.005994221406636058e+01 5.012491934940737792e+01 8.723748440991597519e+00 4.728358200418217194e+01 2.743976279373144145e+00 2.196742618014092263e-01 1.315997908729271870e+01
6.509208045376874141e-01 8.869770997244835087e+00 5.460987976693447621e+01 8.470226226939558956e+00 4.949086022799534845e+01 2.747145777075854944e+00 2.102574339993386610e-01 9.953321248131430821e+00
7.326922273399115726e-01 9.301657501617192736e+00 6.684837375265792048e+01 8.903111924578890779e+00 1.931158840929930065e+01 3.196716247746455242e+00 2.173350629522131650e-01 8.536870280872003391e+00
7.620544376473851189e-01 8.023749932415645603e+00 4.695726315143663498e+01 9.130005689108445566e+00 3.925014082208031851e+01 2.808407587759176316e+00 2.172168337108633940e-01 7.118902789309943913e+00
7.523603699520836630e-01 8.085605295569816775e+00 7.573744703700087655e+01 8.350576437711655586e+00 3.950005038980452099e+01 3.136781938928567826e+00 2.066393407199758614e-01 1.825340114586464324e+01
6.474252356954893761e-01 1.045853930642149621e+01 6.001758321765507276e+01 9.107507810629172695e+00 5.095481270139495678e+01 3.050830629335877120e+00 2.173556607436889221e-01 2.269802369038769640e+01
7.468445639099560163e-01 1.027944393228927922e+01 4.393462098999695797e+01 1.028368561388959002e+01 2.032253134994938293e+01 3.077258110830404902e+00 2.363580366228987262e-01 4.090071061987986312e+00
7.697277339739526658e-01 1.085378218815781182e+01 4.627505367479471232e+01 9.741300692164839958e+00 2.188532470670342178e+01 3.333681999727674317e+00 2.306777607020961962e-01 4.139973917501185596e+00
6.460330755698345806e-01 9.786993181759674698e+00 6.657384312651898028e+01 8.534856126704024604e+00 4.464164727414048883e+01 3.031956330046517767e+00 2.085501588639713522e-01 2.025798103679143480e+01
8.028618095009300015e-01 1.040241882892448722e+01 5.947231339736534750e+01 8.451726867524143927e+00 1.040469163756052495e+01 2.898142221839356658e+00 2.131762571252223959e-01 7.759231306128648420e+00
6.282620555793211325e-01 6.260394719635369754e+00 8.367098557223212651e+01 8.831152412655203676e+00 6.349219932171421732e+01 3.459043216858061598e+00 2.080102122196663128e-01 2.017121384619568047e+01
