m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
6.326889157651459650e-01 1.006241214746352775e+01 4.652508188002470035e+01 7.908977773552208212e+00 4.328287964457899761e+01 2.746143139554941826e+00 2.009464589506868015e-01 7.648376664873593356e+00
7.776087813472190025e-01 8.501191138172854878e+00 4.685217492733941924e+01 8.453734403536278919e+00 4.065689268730703532e+01 2.768437029832830909e+00 2.061525796156001289e-01 7.072094006905608410e+00
6.556544851904377857e-01 9.738625100152123792e+00 4.976705066969292801e+01 8.496537941329197707e+00 4.334095637374857546e+01 2.891139366153950618e+00 2.061513918626589337e-01 8.580634545652596756e+00
7.681204273993471610e-01 1.027130994752462456e+01 4.325928211229675213e+01 7.999177325338984623e+00 2.754067938894329970e+01 2.755444628667323315e+00 2.011066186103900311e-01 5.720471865930617739e+00
7.453042793394031307e-01 7.497839429778085929e+00 4.838890181819593295e+01 8.347590340981721369e+00 4.719513125743659288e+01 2.751382046622802058e+00 2.006073844064992784e-01 7.014131504053906951e+00
6.583924904780521503e-01 9.790267417392279015e+00 4.573663699792038528e+01 7.849219908650655775e+00 4.234717922168926663e+01 2.687588762522690189e+00 2.023998277457034201e-01 7.372741265633305119e+00
6.365955471651604247e-01 1.198681461987712282e+01 4.529817302649598787e+01 8.348945756422288866e+00 2.662258693492990957e+01 2.817211999269848999e+00 2.004113454078863266e-01 6.997589640873869143e+00
7.702561713932041254e-01 8.992333959149789280e+00 4.641574730599623422e+01 8.513674465382303325e+00 3.722850144964078112e+01 2.765237057627392581e+00 2.053996909518835956e-01 6.945342129842396517e+00
8.623014907659432016e-01 8.445444218752310661e+00 4.166466921746954455e+01 8.095693832140810287e+00 3.682042149829193534e+01 2.637815932178300571e+00 2.043747155986412045e-01 5.667211163978553401e+00
8.255501844497407093e-01 8.964093418978720251e+00 4.473523571420353306e+01 8.261166472987907738e+00 3.317429992958072660e+01 2.700000733793553209e+00 2.026523526045542201e-01 6.202350397502737422e+00
6.162800030420635400e-01 1.027606406845385933e+01 4.752726999405408748e+01 8.023737037709651077e+00 4.323621927893499617e+01 2.776275671142039769e+00 2.002363476816869658e-01 8.013126172771476874e+00
6.175938623312376974e-01 9.945287540187187858e+00 5.321163730625378463e+01 8.370624614044341882e+00 4.600654550745697691e+01 2.915173036599336243e+00 2.045264912947362679e-01 9.918047956235643170e+00
6.770379000440458483e-01 8.589105920575761388e+00 5.407056033992871136e+01 8.402258136002556554e+00 5.169491574229143538e+01 2.892007567061332995e+00 2.029294857837452004e-01 9.862249367589523530e+00
6.909081911465833059e-01 9.255583009216520551e+00 4.729112470867391949e+01 8.233910520668208832e+00 4.200964637120647183e+01 2.698290778979629323e+00 2.041750104669662336e-01 7.532595025900684860e+00
7.602537498479995381e-01 1.040693048221274708e+01 4.371433253952935161e+01 7.746206476908865213e+00 2.848489039791092381e+01 2.654103498654160287e+00 2.025944501993918179e-01 6.263183683223639164e+00
7.287703862212361328e-01 9.214941281962330422e+00 4.760500387728663441e+01 8.066266736393208348e+00 3.707647117685539229e+01 2.768737899725462803e+00 2.026169068485695057e-01 7.134690348976161722e+00
