m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
1.015453512220179544e+00 6.691493474327255164e+00 5.350194819930133860e+01 8.501627144325698993e+00 1.605582702319431121e+01 2.676404973969574996e+00 2.055678728331651328e-01 2.362727067486633459e+01
1.459401609572225533e+00 5.002008935512712640e+00 5.663353739418883492e+01 8.193029478024989487e+00 5.408383449274732691e+00 2.649040608586272771e+00 2.022858617161841510e-01 1.965941748597506233e+01
1.132379279174146935e+00 5.510873859654410900e+00 5.481894348054736810e+01 8.096849023241286858e+00 2.730379252601911233e+01 2.619520690067529411e+00 2.018663686843707450e-01 2.378724776299315380e+01
1.056844346631623299e+00 6.029077934735214583e+00 5.429917875335594601e+01 8.052042702480836311e+00 3.866599348040586648e+01 2.616014441781119082e+00 2.006786426493584186e-01 2.222486691208211340e+01
1.173079645303894303e+00 5.007548026922293616e+00 5.561480773342029238e+01 8.066236013517487535e+00 2.756867685868703077e+01 2.665317874198907866e+00 2.003777299187212146e-01 1.342985695467078777e+01
1.031141944870431093e+00 6.314825882802250767e+00 5.438941104974803409e+01 8.145595012219857267e+00 3.119714283709499369e+01 2.610299150509392430e+00 2.047378947729397991e-01 2.460030033788270032e+01
9.573200486484597649e-01 6.615994431110912899e+00 5.284319175799842583e+01 7.959486908706805863e+00 3.475229810845370793e+01 2.594825082330268984e+00 2.001157293154022243e-01 2.473123238119836742e+01
1.082042040572118946e+00 5.366313091159098825e+00 5.680420836863393674e+01 7.525397609628462270e+00 4.897748148112609812e+01 2.664816162983322023e+00 2.002018843785872970e-01 2.439371319311921127e+01
1.096092133951647174e+00 5.058915493480058423e+00 6.164828997419199652e+01 8.470054806674550463e+00 2.883537530589228481e+01 2.868561735243031485e+00 2.023334583796433661e-01 2.255221770616590860e+01
1.199899684872417494e+00 5.649612860104152645e+00 5.491803849480673705e+01 8.289973552669309242e+00 1.461761447580940576e+01 2.647834516473861477e+00 2.011763095270624746e-01 2.456646130308285692e+01
1.164251658109943577e+00 5.813238981801628569e+00 5.595890350065305086e+01 8.071807863383059001e+00 6.970313857783868805e+00 2.645332297411886913e+00 2.073125036303762880e-01 1.917454484113575930e+01
9.812984287375025039e-01 5.861470779215120608e+00 5.515850788815894390e+01 7.790774756223967756e+00 4.919432617726361201e+01 2.638332760266348664e+00 2.084522755294414831e-01 2.478867175193800065e+01
8.967583838597800172e-01 6.464265024932253745e+00 5.272597283873518137e+01 8.447646218459999190e+00 3.303877178042844065e+01 2.654272013252273243e+00 2.033238311730537484e-01 1.411525356935443121e+01
8.999712193070237287e-01 5.680355426018470766e+00 5.630950447212473620e+01 8.147040463199745730e+00 4.832993425206822025e+01 2.645043193667075077e+00 2.037589246558476341e-01 2.359927932686885299e+01
8.366870490698435914e-01 6.394380769819391297e+00 5.409631168030470150e+01 8.031735078322292054e+00 4.759947205148523608e+01 2.641216654336105307e+00 2.018436517893768545e-01 2.114304852396317358e+01
1.182866451794646556e+00 5.979866563357612463e+00 5.572470939315285676e+01 8.449633197361547943e+00 3.487659230416211731e+00 2.676746024689522052e+00 2.005866183376718292e-01 1.102668390009203847e+01
1.106960174608068614e+00 5.559248389251014721e+00 5.398780570005865087e+01 7.872669172438365948e+00 4.167948733726908728e+01 2.574705486082477179e+00 2.009555252562103822e-01 2.078008944233488720e+01
8.255364135851106511e-01 6.855513439941710807e+00 5.446651447221142206e+01 8.115862016804893386e+00 4.507929913489683571e+01 2.663897789335504473e+00 2.039359655299478880e-01 2.367935168677494673e+01
9.893568622744142171e-01 5.476539513835749773e+00 5.851388470608592485e+01 8.047956443019270267e+00 5.262477376969180654e+01 2.723377820180529874e+00 2.015859517159481196e-01 2.374912852063532398e+01
1.078418522096929122e+00 6.338043681049546407e+00 5.499721422759875367e+01 8.116350366658920734e+00 5.841439487118128326e+00 2.707176505963857949e+00 2.006557341025602681e-01 2.182956548308240130e+01
1.221199063300218768e+00 5.417911345892929553e+00 5.694549057089617605e+01 7.398710710369211796e+00 3.264539801510517947e+01 2.659906326706798829e+00 2.001606550449537836e-01 2.389733140480845464e+01
1.189118747928854747e+00 5.604320064760971221e+00 5.882843385977220407e+01 8.157170500467046281e+00 6.632696664089969829e+00 2.790955801738378650e+00 2.019441920312536332e-01 1.331114828027741659e+01
1.182569620833237689e+00 5.044178084108343896e+00 5.567804391435370093e+01 7.920857139213139497e+00 4.082092486003295306e+01 2.578282683419240051e+00 2.014153997084197345e-01 1.876920850603983126e+01
8.874770923994274030e-01 5.429265063106170963e+00 5.873312909597891007e+01 8.823923983696158047e+00 5.831210883085987007e+01 2.801315971619470879e+00 2.022367030535752175e-01 2.086132191157339477e+01
1.020992781701534957e+00 6.201766046902314145e+00 5.475072293523413691e+01 8.094934545376794688e+00 3.529621632500668227e+01 2.679512243417340400e+00 2.036494124369839231e-01 2.233037565128412894e+01
1.287823620269769709e+00 5.401251219337728671e+00 5.492814742089858271e+01 8.244055386342635572e+00 8.737641329412412006e+00 2.636832937067463689e+00 2.044226131922818046e-01 2.039211024880832923e+01
1.151123963032634645e+00 5.236596966027245337e+00 5.363595077205015116e+01 7.802648557591123080e+00 4.604545902609561381e+01 2.548396513488746962e+00 2.012044743524487311e-01 1.774115351880606539e+01
1.190381427798163694e+00 5.539277979440687893e+00 5.660163013097974982e+01 7.909735521423838733e+00 2.751772011373689963e+01 2.679185438669857255e+00 2.028271903264570186e-01 2.389346898844758016e+01
1.243129251627776988e+00 5.538394269413768889e+00 5.569794258950329180e+01 8.197686546659294748e+00 1.153087355964125393e+01 2.629516804170858535e+00 2.044920759419997514e-01 2.151369377870106447e+01
9.978389579886837168e-01 5.656621667389451602e+00 5.680577540238788004e+01 7.991734948840375274e+00 4.665452269328696389e+01 2.656211523300334498e+00 2.007446708990914541e-01 2.037671147589869136e+01
1.193330788821272970e+00 5.995574592721902185e+00 5.407403414156217281e+01 8.168184669987571311e+00 7.514825960446063213e+00 2.609707835131540143e+00 2.002775416962165045e-01 1.646907501525519635e+01
9.697044272457481240e-01 6.851470502384806593e+00 5.597852889873746562e+01 7.713688090562707877e+00 1.192489364647573247e+01 2.696401262027660728e+00 2.002039889500040748e-01 2.208731412308621600e+01
1.124010455670833686e+00 5.418034681657043272e+00 5.555456415719038432e+01 7.890561531865863287e+00 3.934410602444160077e+01 2.580311436035387818e+00 2.009672109780208382e-01 2.251181373740720915e+01
1.163355372870807924e+00 5.308845348359432670e+00 5.642077429957740264e+01 8.315088130839381364e+00 2.253045043304789630e+01 2.692076481469588778e+00 2.022538749844830230e-01 2.115885399033568959e+01
1.246084294276718740e+00 5.319680305403088560e+00 5.496827153486009365e+01 8.294662325767674815e+00 5.125154129077817799e+01 2.607413569957577337e+00 2.021841616731528124e-01 2.441424888793149606e+01
1.306536117475166847e+00 5.069882895495433139e+00 5.926723440647544550e+01 8.153350802333779512e+00 1.000673191757317859e+01 2.731471630514620941e+00 2.023566099060487011e-01 1.645187729169081337e+01
1.441618692082185182e+00 5.045190296927011708e+00 5.686570033391768675e+01 8.677952144353513475e+00 1.414325644854457664e+00 2.708774033514694146e+00 2.048408590210880342e-01 1.068872835180322411e+01
8.959510601834056454e-01 6.738277915005868479e+00 5.358629841997207421e+01 7.838699358451852284e+00 4.193346467112469611e+01 2.606197136884834009e+00 2.046480879985951851e-01 1.953662982366537193e+01
1.381627535995177070e+00 5.036457077852133146e+00 5.535725588658588237e+01 7.767742260462904724e+00 1.283243868482384364e+01 2.602687601839323683e+00 2.007177659915716783e-01 2.499637738179919566e+01
9.970265600581901255e-01 5.286768530691531076e+00 5.580286922818581985e+01 7.906033121120749740e+00 5.330810381111380281e+01 2.602080983072892373e+00 2.050545714979221390e-01 1.790158417633456622e+01
1.298515334450994763e+00 5.447172103198402837e+00 5.435507504741593010e+01 8.114905556748185589e+00 7.320463808588008270e+00 2.603122206571185870e+00 2.012341888814637714e-01 2.499163993246800786e+01
1.197106264162543177e+00 5.701999191249854881e+00 5.446131783193819587e+01 7.808607390963312689e+00 2.858709542137465931e+01 2.657633755244094065e+00 2.006779728755099246e-01 2.066508583982286851e+01
1.070979813211796472e+00 5.224658930020302350e+00 5.658740447736239076e+01 7.837253297148229159e+00 5.361354051723004943e+01 2.654921698087994386e+00 2.021520713079434650e-01 2.269638563413501586e+01
1.036022469617280617e+00 6.622184998315947979e+00 4.889336660356442366e+01 7.297417758835432089e+00 2.293568068843301688e+01 2.444551857962001584e+00 2.022153624015563811e-01 1.637619698804104473e+01
